email_lenghth,word_free_freq,word_win_freq,word_click_freq,suspicious_words_freq,is_spam
152,17,3,4,20,1
485,6,9,2,34,1
910,16,4,1,27,1
320,17,1,1,21,1
156,11,1,4,41,1
121,7,6,3,50,1
750,1,6,4,45,1
70,6,5,4,17,1
664,3,0,0,22,1
171,17,2,3,25,1
516,5,8,4,34,1
264,8,9,2,28,1
380,8,0,1,51,1
508,13,1,2,45,1
137,7,7,2,10,1
422,18,6,2,41,1
149,2,8,3,55,1
921,17,9,3,45,1
713,4,3,3,0,0
180,13,3,1,15,1
711,3,6,0,24,1
358,6,0,4,37,1
819,19,9,4,17,1
393,11,8,0,15,1
541,1,1,4,18,1
463,10,0,2,15,1
855,13,6,1,4,1
435,15,5,4,26,1
241,19,2,1,43,1
326,5,0,0,5,0
210,3,4,4,56,1
509,14,9,1,33,1
363,0,3,2,15,1
71,6,4,2,52,1
302,11,0,0,22,1
797,9,0,3,42,1
906,4,4,4,43,1
610,11,5,2,31,1
524,17,4,2,42,1
108,9,1,0,22,1
560,5,8,2,19,1
731,11,4,4,18,1
525,6,4,0,28,1
749,17,9,1,7,1
832,1,8,0,28,1
239,9,2,4,17,1
736,14,4,4,4,1
612,11,4,1,11,1
925,16,1,0,9,1
616,3,3,4,46,1
293,6,1,4,36,1
881,8,4,1,16,1
554,18,9,3,31,1
180,6,1,0,54,1
534,1,9,4,3,1
868,5,8,2,30,1
696,17,9,1,25,1
70,5,5,3,11,1
890,12,7,3,17,1
216,18,8,1,7,1
323,1,7,3,31,1
437,11,4,4,19,1
650,14,4,3,48,1
365,13,5,0,39,1
63,5,0,2,12,1
291,17,7,4,58,1
826,4,1,1,22,1
395,17,5,2,2,1
614,2,8,4,34,1
947,2,2,2,38,1
389,9,1,3,49,1
141,18,9,1,20,1
416,2,4,1,6,0
504,11,8,0,53,1
477,15,5,3,25,1
558,16,7,0,22,1
825,6,7,0,31,1
992,12,6,3,1,1
84,1,4,4,38,1
255,3,1,0,1,0
130,9,9,2,38,1
981,6,9,4,45,1
611,16,4,3,14,1
921,19,6,1,15,1
437,5,6,4,55,1
51,18,1,0,25,1
439,4,6,2,7,1
615,9,5,3,15,1
155,8,6,1,20,1
821,12,7,2,38,1
871,18,3,1,10,1
526,5,0,3,23,1
752,3,7,4,35,1
451,2,7,0,17,1
779,2,2,3,22,1
605,3,2,2,12,1
211,4,4,4,48,1
251,7,2,1,43,1
319,15,4,4,49,1
912,2,7,4,41,1
865,11,0,2,38,1
320,7,1,0,43,1
505,12,1,4,43,1
511,3,3,4,57,1
776,13,8,0,44,1
301,13,1,0,0,0
751,12,8,1,6,1
345,5,6,1,47,1
774,16,9,0,47,1
769,3,7,3,20,1
798,7,0,0,15,1
387,16,4,1,47,1
928,2,8,2,13,1
102,16,3,2,42,1
841,8,1,4,50,1
971,1,5,2,42,1
266,12,1,1,1,0
813,19,2,2,30,1
237,1,7,3,38,1
429,19,2,0,8,1
542,10,1,0,40,1
90,14,5,1,13,1
206,10,2,4,57,1
64,2,0,0,9,0
862,2,2,2,47,1
114,11,5,3,23,1
906,4,2,4,49,1
888,19,8,4,32,1
570,6,6,4,55,1
393,6,4,0,33,1
178,12,1,4,19,1
697,8,8,1,27,1
521,12,4,2,3,1
112,11,6,3,33,1
188,12,8,2,3,1
548,9,3,1,54,1
642,0,8,1,5,0
441,7,0,2,57,1
724,15,5,0,21,1
468,12,1,1,3,1
338,2,7,4,49,1
428,2,4,3,4,0
822,4,2,3,10,1
539,10,1,1,44,1
280,6,7,4,34,1
90,9,6,2,18,1
77,9,8,3,51,1
184,19,7,4,10,1
250,1,3,4,10,1
889,2,1,0,52,1
829,7,1,1,26,1
979,10,1,4,1,1
82,12,5,2,53,1
97,6,6,3,46,1
552,12,5,0,53,1
456,1,1,2,7,0
623,5,3,3,33,1
777,8,2,1,39,1
854,19,3,2,55,1
148,1,4,3,19,1
733,17,6,0,22,1
921,15,8,3,14,1
775,11,1,4,47,1
596,6,7,0,12,1
788,6,2,2,54,1
662,16,8,1,30,1
992,12,9,0,48,1
511,10,3,0,45,1
692,5,2,0,13,1
818,13,9,3,0,1
54,5,5,4,55,1
267,5,9,1,26,1
552,1,8,1,32,1
816,19,6,4,34,1
447,14,3,3,53,1
920,16,2,3,55,1
844,7,9,4,14,1
442,4,3,4,4,0
256,16,2,2,36,1
64,19,2,3,3,1
907,0,8,0,45,1
603,17,3,1,19,1
941,14,8,3,38,1
510,4,9,4,21,1
740,6,4,0,23,1
624,17,6,2,46,1
913,5,4,2,10,1
792,4,0,0,45,1
290,18,1,0,5,1
613,9,4,4,26,1
145,14,5,4,9,1
949,9,6,1,38,1
783,15,1,1,9,1
534,11,9,2,45,1
456,17,8,0,25,1
280,0,5,2,36,1
798,15,1,4,53,1
704,5,1,3,32,1
220,2,2,4,50,1
590,1,0,3,59,1
85,1,8,0,7,1
574,12,9,0,50,1
209,8,3,0,48,1
888,15,4,1,50,1
748,4,6,1,27,1
292,6,0,3,47,1
135,12,2,2,35,1
845,19,2,2,39,1
627,12,1,3,24,1
731,6,7,1,35,1
606,9,4,4,12,1
623,14,0,3,59,1
695,5,1,2,6,0
845,4,0,3,0,0
77,1,5,3,8,1
669,14,8,0,58,1
605,15,6,1,27,1
389,18,4,0,35,1
847,8,2,1,45,1
380,18,7,3,29,1
689,6,9,1,8,1
555,3,3,2,29,1
397,2,8,0,34,1
522,19,4,3,46,1
280,10,5,2,26,1
239,0,4,1,28,1
274,5,9,1,4,1
434,10,6,2,0,1
